city,state,latitude,longitude,population,msa,new_msa
kastrup,hovedstaden,55.6352,12.6489,0,,denmark__hovedstaden__NONMETROPOLITAN AREA
ishøj,capital region,55.61543,12.35182,19453,,denmark__capital region__NONMETROPOLITAN AREA
lemvig,central jutland,56.54856,8.31019,7330,,denmark__central jutland__NONMETROPOLITAN AREA
løgstør,north denmark,56.96245,9.2583,4014,,denmark__north denmark__NONMETROPOLITAN AREA
ringkøbing,central jutland,56.09006,8.24402,9315,,denmark__central jutland__NONMETROPOLITAN AREA
sakskøbing,zealand,54.7997,11.62599,4549,,denmark__zealand__NONMETROPOLITAN AREA
nakskov,zealand,54.83038,11.13567,12546,,denmark__zealand__NONMETROPOLITAN AREA
thisted,north denmark,56.95523,8.69491,13020,,denmark__north denmark__NONMETROPOLITAN AREA
tarnby,capital region,55.6303,12.60035,10000,,denmark__capital region__NONMETROPOLITAN AREA
hvide sande,central jutland,55.99866,8.12605,3291,,denmark__central jutland__NONMETROPOLITAN AREA
buddinge,hovedstaden,55.7577,12.489,0,,denmark__hovedstaden__NONMETROPOLITAN AREA
maribo,zealand,54.77662,11.50017,5349,,denmark__zealand__NONMETROPOLITAN AREA
skaerbaek,south denmark,55.15735,8.76901,3062,,denmark__south denmark__NONMETROPOLITAN AREA
klampenborg,hovedstaden,55.7763,12.5901,0,,denmark__hovedstaden__NONMETROPOLITAN AREA
skjern,central jutland,55.95,8.5,7145,,denmark__central jutland__NONMETROPOLITAN AREA
grindsted,south denmark,55.75726,8.9275,9414,,denmark__south denmark__NONMETROPOLITAN AREA
rudkøbing,south denmark,54.93639,10.71019,4666,,denmark__south denmark__NONMETROPOLITAN AREA
rødby,zealand,54.69495,11.38885,2024,,denmark__zealand__NONMETROPOLITAN AREA
faaborg,south denmark,55.0951,10.24226,7239,,denmark__south denmark__NONMETROPOLITAN AREA
rønne,capital region,55.10091,14.70664,13890,,denmark__capital region__NONMETROPOLITAN AREA
kalundborg,zealand,55.67954,11.08864,15939,,denmark__zealand__NONMETROPOLITAN AREA
hirtshals,north denmark,57.58812,9.95922,5636,,denmark__north denmark__NONMETROPOLITAN AREA
virum,hovedstaden,55.7949,12.451,0,,denmark__hovedstaden__NONMETROPOLITAN AREA
dragør,capital region,55.5928,12.67221,11045,,denmark__capital region__NONMETROPOLITAN AREA
aars,north denmark,56.80399,9.51441,7771,,denmark__north denmark__NONMETROPOLITAN AREA
sæby,north denmark,57.33188,10.52251,8821,,denmark__north denmark__NONMETROPOLITAN AREA
